"R.FileName","SampleID","R.Condition","group","Rep","NrPEP"
"20260331_c-jun_KO_cDDP_24h1_1","20260331_c-jun_KO_cDDP_24h1","c-jun_KO_cDDP_24h","Rabah_20260331","1","410269"
"20260331_c-jun_KO_cDDP_24h1_2","20260331_c-jun_KO_cDDP_24h1","c-jun_KO_cDDP_24h","Rabah_20260331","2","402622"
"20260331_c-jun_KO_cDDP_24h1_3","20260331_c-jun_KO_cDDP_24h1","c-jun_KO_cDDP_24h","Rabah_20260331","3","402622"
"20260331_c-jun_KO_cDDP_24h2_1","20260331_c-jun_KO_cDDP_24h2","c-jun_KO_cDDP_24h","Rabah_20260331","1","402622"
"20260331_c-jun_KO_cDDP_24h2_2","20260331_c-jun_KO_cDDP_24h2","c-jun_KO_cDDP_24h","Rabah_20260331","2","402622"
"20260331_c-jun_KO_cDDP_24h2_3","20260331_c-jun_KO_cDDP_24h2","c-jun_KO_cDDP_24h","Rabah_20260331","3","201311"
"20260331_c-jun_KO1_1","20260331_c-jun_KO1","c-jun_KO","Rabah_20260331","1","201311"
"20260331_c-jun_KO1_2","20260331_c-jun_KO1","c-jun_KO","Rabah_20260331","2","201311"
"20260331_c-jun_KO1_3","20260331_c-jun_KO1","c-jun_KO","Rabah_20260331","3","201311"
"20260331_c-jun_KO2_1","20260331_c-jun_KO2","c-jun_KO","Rabah_20260331","1","201311"
"20260331_c-jun_KO2_2","20260331_c-jun_KO2","c-jun_KO","Rabah_20260331","2","201311"
"20260331_c-jun_KO2_3","20260331_c-jun_KO2","c-jun_KO","Rabah_20260331","3","201311"
"20260331_CTRL_cDDP_24h1_1","20260331_CTRL_cDDP_24h1","CTRL_cDDP_24h","Rabah_20260331","1","201311"
"20260331_CTRL_cDDP_24h1_2","20260331_CTRL_cDDP_24h1","CTRL_cDDP_24h","Rabah_20260331","2","201311"
"20260331_CTRL_cDDP_24h1_3","20260331_CTRL_cDDP_24h1","CTRL_cDDP_24h","Rabah_20260331","3","201311"
"20260331_CTRL_JNK-IN-8_cDDP_24h1_1","20260331_CTRL_JNK-IN-8_cDDP_24h1","CTRL_JNK-IN-8_cDDP_24h","Rabah_20260331","1","201311"
"20260331_CTRL_JNK-IN-8_cDDP_24h1_2","20260331_CTRL_JNK-IN-8_cDDP_24h1","CTRL_JNK-IN-8_cDDP_24h","Rabah_20260331","2","201311"
"20260331_CTRL_JNK-IN-8_cDDP_24h1_3","20260331_CTRL_JNK-IN-8_cDDP_24h1","CTRL_JNK-IN-8_cDDP_24h","Rabah_20260331","3","201311"
"20260331_CTRL1_1","20260331_CTRL1","CTRL","Rabah_20260331","1","201311"
"20260331_CTRL1_2","20260331_CTRL1","CTRL","Rabah_20260331","2","201311"
"20260331_CTRL1_3","20260331_CTRL1","CTRL","Rabah_20260331","3","201311"
"20260331_CTRL2_1","20260331_CTRL2","CTRL","Rabah_20260331","1","201311"
"20260331_CTRL2_2","20260331_CTRL2","CTRL","Rabah_20260331","2","201311"
"20260331_CTRL2_3","20260331_CTRL2","CTRL","Rabah_20260331","3","201311"
"Group1_c-jun_KO_1","Group1_c-jun_KO","c-jun_KO","Group1","1","201311"
"Group1_c-jun_KO_2","Group1_c-jun_KO","c-jun_KO","Group1","2","201311"
"Group1_c-jun_KO_3","Group1_c-jun_KO","c-jun_KO","Group1","3","201311"
"Group1_c-jun_KO_cDDP_24h_1","Group1_c-jun_KO_cDDP_24h","c-jun_KO_cDDP_24h","Group1","1","201311"
"Group1_c-jun_KO_cDDP_24h_2","Group1_c-jun_KO_cDDP_24h","c-jun_KO_cDDP_24h","Group1","2","201311"
"Group1_c-jun_KO_cDDP_24h_3","Group1_c-jun_KO_cDDP_24h","c-jun_KO_cDDP_24h","Group1","3","201311"
"Group1_CTRL_1","Group1_CTRL","CTRL","Group1","1","201311"
"Group1_CTRL_2","Group1_CTRL","CTRL","Group1","2","201311"
"Group1_CTRL_3","Group1_CTRL","CTRL","Group1","3","201311"
"Group1_CTRL_cDDP_24h_1","Group1_CTRL_cDDP_24h","CTRL_cDDP_24h","Group1","1","201311"
"Group1_CTRL_cDDP_24h_2","Group1_CTRL_cDDP_24h","CTRL_cDDP_24h","Group1","2","201311"
"Group1_CTRL_cDDP_24h_3","Group1_CTRL_cDDP_24h","CTRL_cDDP_24h","Group1","3","201311"
"Group1_CTRL_JNK-IN-8_cDDP_24h_1","Group1_CTRL_JNK-IN-8_cDDP_24h","CTRL_JNK-IN-8_cDDP_24h","Group1","1","201311"
"Group1_CTRL_JNK-IN-8_cDDP_24h_2","Group1_CTRL_JNK-IN-8_cDDP_24h","CTRL_JNK-IN-8_cDDP_24h","Group1","2","201311"
"Group1_CTRL_JNK-IN-8_cDDP_24h_3","Group1_CTRL_JNK-IN-8_cDDP_24h","CTRL_JNK-IN-8_cDDP_24h","Group1","3","201311"
"Group2_c-jun_KO_1","Group2_c-jun_KO","c-jun_KO","Group2","1","201311"
"Group2_c-jun_KO_2","Group2_c-jun_KO","c-jun_KO","Group2","2","201311"
"Group2_c-jun_KO_3","Group2_c-jun_KO","c-jun_KO","Group2","3","201311"
"Group2_c-jun_KO_cDDP_24h_1","Group2_c-jun_KO_cDDP_24h","c-jun_KO_cDDP_24h","Group2","1","201311"
"Group2_c-jun_KO_cDDP_24h_2","Group2_c-jun_KO_cDDP_24h","c-jun_KO_cDDP_24h","Group2","2","201311"
"Group2_c-jun_KO_cDDP_24h_3","Group2_c-jun_KO_cDDP_24h","c-jun_KO_cDDP_24h","Group2","3","201311"
"Group2_CTRL_1","Group2_CTRL","CTRL","Group2","1","201311"
"Group2_CTRL_2","Group2_CTRL","CTRL","Group2","2","201311"
"Group2_CTRL_3","Group2_CTRL","CTRL","Group2","3","201311"
"Group2_CTRL_cDDP_24h_1","Group2_CTRL_cDDP_24h","CTRL_cDDP_24h","Group2","1","201311"
"Group2_CTRL_cDDP_24h_2","Group2_CTRL_cDDP_24h","CTRL_cDDP_24h","Group2","2","201311"
"Group2_CTRL_cDDP_24h_3","Group2_CTRL_cDDP_24h","CTRL_cDDP_24h","Group2","3","201311"
"Group2_CTRL_JNK-IN-8_cDDP_24h_1","Group2_CTRL_JNK-IN-8_cDDP_24h","CTRL_JNK-IN-8_cDDP_24h","Group2","1","201311"
"Group2_CTRL_JNK-IN-8_cDDP_24h_2","Group2_CTRL_JNK-IN-8_cDDP_24h","CTRL_JNK-IN-8_cDDP_24h","Group2","2","201311"
"Group2_CTRL_JNK-IN-8_cDDP_24h_3","Group2_CTRL_JNK-IN-8_cDDP_24h","CTRL_JNK-IN-8_cDDP_24h","Group2","3","201311"
"Group3_c-jun_KO_1","Group3_c-jun_KO","c-jun_KO","Group3","1","201311"
"Group3_c-jun_KO_2","Group3_c-jun_KO","c-jun_KO","Group3","2","201311"
"Group3_c-jun_KO_3","Group3_c-jun_KO","c-jun_KO","Group3","3","201311"
"Group3_c-jun_KO_cDDP_06h_1","Group3_c-jun_KO_cDDP_06h","c-jun_KO_cDDP_06h","Group3","1","201311"
"Group3_c-jun_KO_cDDP_06h_2","Group3_c-jun_KO_cDDP_06h","c-jun_KO_cDDP_06h","Group3","2","201311"
"Group3_c-jun_KO_cDDP_06h_3","Group3_c-jun_KO_cDDP_06h","c-jun_KO_cDDP_06h","Group3","3","201311"
"Group3_CTRL_1","Group3_CTRL","CTRL","Group3","1","201311"
"Group3_CTRL_2","Group3_CTRL","CTRL","Group3","2","201311"
"Group3_CTRL_3","Group3_CTRL","CTRL","Group3","3","201311"
"Group3_CTRL_cDDP_06h_1","Group3_CTRL_cDDP_06h","CTRL_cDDP_06h","Group3","1","201311"
"Group3_CTRL_cDDP_06h_2","Group3_CTRL_cDDP_06h","CTRL_cDDP_06h","Group3","2","201311"
"Group3_CTRL_cDDP_06h_3","Group3_CTRL_cDDP_06h","CTRL_cDDP_06h","Group3","3","201311"
"Group3_CTRL_JNK-IN-8_cDDP_06h_1","Group3_CTRL_JNK-IN-8_cDDP_06h","CTRL_JNK-IN-8_cDDP_06h","Group3","1","201311"
"Group3_CTRL_JNK-IN-8_cDDP_06h_2","Group3_CTRL_JNK-IN-8_cDDP_06h","CTRL_JNK-IN-8_cDDP_06h","Group3","2","201311"
"Group3_CTRL_JNK-IN-8_cDDP_06h_3","Group3_CTRL_JNK-IN-8_cDDP_06h","CTRL_JNK-IN-8_cDDP_06h","Group3","3","201311"
"Group4_c-jun_KO_1","Group4_c-jun_KO","c-jun_KO","Group4","1","201311"
"Group4_c-jun_KO_2","Group4_c-jun_KO","c-jun_KO","Group4","2","201311"
"Group4_c-jun_KO_3","Group4_c-jun_KO","c-jun_KO","Group4","3","201311"
"Group4_c-jun_KO_cDDP_06h_1","Group4_c-jun_KO_cDDP_06h","c-jun_KO_cDDP_06h","Group4","1","201311"
"Group4_c-jun_KO_cDDP_06h_2","Group4_c-jun_KO_cDDP_06h","c-jun_KO_cDDP_06h","Group4","2","201311"
"Group4_c-jun_KO_cDDP_06h_3","Group4_c-jun_KO_cDDP_06h","c-jun_KO_cDDP_06h","Group4","3","201311"
"Group4_CTRL_1","Group4_CTRL","CTRL","Group4","1","201311"
"Group4_CTRL_2","Group4_CTRL","CTRL","Group4","2","201311"
"Group4_CTRL_3","Group4_CTRL","CTRL","Group4","3","201311"
"Group4_CTRL_cDDP_06h_1","Group4_CTRL_cDDP_06h","CTRL_cDDP_06h","Group4","1","201311"
"Group4_CTRL_cDDP_06h_2","Group4_CTRL_cDDP_06h","CTRL_cDDP_06h","Group4","2","201311"
"Group4_CTRL_cDDP_06h_3","Group4_CTRL_cDDP_06h","CTRL_cDDP_06h","Group4","3","201311"
"Group4_CTRL_JNK-IN-8_cDDP_06h_1","Group4_CTRL_JNK-IN-8_cDDP_06h","CTRL_JNK-IN-8_cDDP_06h","Group4","1","201311"
"Group4_CTRL_JNK-IN-8_cDDP_06h_2","Group4_CTRL_JNK-IN-8_cDDP_06h","CTRL_JNK-IN-8_cDDP_06h","Group4","2","201311"
"Group4_CTRL_JNK-IN-8_cDDP_06h_3","Group4_CTRL_JNK-IN-8_cDDP_06h","CTRL_JNK-IN-8_cDDP_06h","Group4","3","201311"
